time,camera_id,people,workers,customers,counter_people,store_hall_people,global_workers
10:11:47.90,cam1,2,0,2,0,2,0
10:00:07.24,cam2,0,0,0,0,0,0
09:48:16.56,cam3,2,0,2,0,1,0
10:12:04.06,cam1,2,0,2,0,3,1
10:00:29.92,cam2,0,0,0,0,0,1
09:48:37.83,cam3,3,0,3,0,3,1
10:12:23.25,cam1,1,0,1,0,3,0
10:00:51.92,cam2,0,0,0,0,0,0
09:48:57.31,cam3,2,1,1,0,1,1
10:12:44.25,cam1,1,1,0,0,1,1
10:01:15.04,cam2,0,0,0,0,0,1
09:49:15.90,cam3,3,0,3,0,2,1
10:13:07.00,cam1,0,0,0,0,0,1
10:01:35.36,cam2,0,0,0,0,0,1
09:49:34.06,cam3,3,0,3,0,2,0
10:13:26.83,cam1,1,0,1,0,2,1
10:01:57.12,cam2,0,0,0,0,0,1
09:49:55.01,cam3,3,1,2,0,1,2
10:13:48.03,cam1,1,1,0,0,1,1
10:02:19.36,cam2,0,0,0,0,0,1
09:50:15.12,cam3,2,0,2,0,1,1
10:14:20.14,cam1,0,0,0,0,0,0
10:02:41.32,cam2,1,0,1,1,0,0
09:50:36.16,cam3,2,0,2,0,1,0
10:14:53.01,cam1,1,1,0,0,1,2
10:03:02.48,cam2,0,0,0,0,0,2
09:50:55.71,cam3,2,1,1,0,1,2
10:15:19.32,cam1,0,0,0,0,0,1
10:03:24.96,cam2,0,0,0,0,0,1
09:51:14.95,cam3,3,1,2,0,1,1
10:15:50.23,cam1,0,0,0,0,0,1
10:03:46.44,cam2,0,0,0,0,0,1
09:51:32.82,cam3,4,1,3,0,2,1
10:16:13.54,cam1,0,0,0,0,0,1
10:04:07.28,cam2,0,0,0,0,0,1
09:51:52.62,cam3,5,2,3,0,4,2
10:16:47.65,cam1,0,0,0,0,0,1
10:04:28.20,cam2,0,0,0,0,0,1
09:52:11.09,cam3,3,2,1,0,2,1
10:17:25.80,cam1,0,0,0,0,0,2
10:04:50.68,cam2,0,0,0,0,0,2
09:52:28.93,cam3,3,2,1,0,2,2
10:18:00.51,cam1,0,0,0,0,1,2
10:05:11.32,cam2,0,0,0,0,0,2
09:52:46.92,cam3,3,1,2,0,2,1
10:18:25.79,cam1,1,1,0,0,1,2
10:05:34.44,cam2,0,0,0,0,0,2
09:53:03.44,cam3,5,2,3,0,3,2
10:18:59.50,cam1,0,0,0,0,0,1
10:05:56.88,cam2,0,0,0,0,0,1
09:53:22.11,cam3,3,2,1,0,2,1
10:19:33.93,cam1,0,0,0,0,1,1
10:06:16.64,cam2,0,0,0,0,0,1
09:53:39.91,cam3,2,0,2,0,1,0
10:19:59.08,cam1,0,0,0,0,1,1
10:06:38.80,cam2,0,0,0,0,0,1
09:53:58.10,cam3,4,2,2,0,3,1
10:20:31.27,cam1,0,0,0,0,0,1
10:07:00.56,cam2,0,0,0,0,0,1
09:54:16.21,cam3,3,1,2,0,2,1
10:21:07.62,cam1,0,0,0,0,0,1
10:07:22.08,cam2,0,0,0,0,0,1
09:54:34.69,cam3,2,1,1,0,1,1
10:21:46.73,cam1,0,0,0,0,0,1
10:07:44.56,cam2,0,0,0,0,0,1
09:54:52.96,cam3,4,0,4,0,3,0
10:22:25.96,cam1,0,0,0,0,0,1
10:08:05.40,cam2,0,0,0,0,0,1
09:55:10.68,cam3,4,2,2,0,3,1
10:23:02.55,cam1,0,0,0,0,0,1
10:08:26.72,cam2,0,0,0,0,0,1
09:55:29.63,cam3,2,0,2,0,1,0
10:23:35.22,cam1,0,0,0,0,0,0
10:08:48.36,cam2,0,0,0,0,0,0
09:55:47.83,cam3,2,0,2,0,1,0
10:24:03.89,cam1,0,0,0,0,0,1
10:09:10.64,cam2,0,0,0,0,0,1
09:56:06.94,cam3,2,1,1,0,1,1
10:24:38.80,cam1,0,0,0,0,2,1
10:09:37.40,cam2,0,0,0,0,0,1
09:56:24.50,cam3,4,1,3,0,3,1
10:25:15.51,cam1,0,0,0,0,0,1
10:09:59.72,cam2,0,0,0,0,0,1
09:56:42.85,cam3,2,1,1,0,1,1
