time_start,time_end,camera_id,previous_state,new_state,duration_seconds,people_ids
09:38:05.52,09:38:05.76,cam2,staffed,unstaffed,0.24,
09:38:05.76,09:38:05.88,cam2,unstaffed,staffed,0.12,
09:38:05.88,09:38:06.48,cam2,staffed,unstaffed,0.6,
09:38:06.48,09:38:06.96,cam2,unstaffed,staffed,0.48,
09:38:06.96,09:38:07.56,cam2,staffed,unstaffed,0.6,
09:38:07.56,09:38:12.08,cam2,unstaffed,staffed,4.52,
09:38:12.08,09:38:12.80,cam2,staffed,unstaffed,0.72,
09:38:12.80,09:38:14.52,cam2,unstaffed,staffed,1.72,
09:38:14.52,09:38:18.24,cam2,staffed,unstaffed,3.72,
09:38:18.24,09:38:20.56,cam2,unstaffed,staffed,2.32,
09:38:20.56,09:38:21.68,cam2,staffed,unstaffed,1.12,
09:38:21.68,09:38:38.28,cam2,unstaffed,staffed,16.6,
09:38:38.28,09:38:40.36,cam2,staffed,unstaffed,2.08,
09:38:40.36,09:38:55.64,cam2,unstaffed,staffed,15.28,w1
09:38:55.64,09:38:59.04,cam2,staffed,unstaffed,3.4,w1
09:38:59.04,09:39:03.68,cam2,unstaffed,staffed,4.64,
09:39:03.68,09:39:07.04,cam2,staffed,unstaffed,3.36,w1
09:39:07.04,09:39:36.32,cam2,unstaffed,staffed,29.28,
09:39:36.32,09:39:37.04,cam2,staffed,unstaffed,0.72,
09:39:37.04,09:39:37.40,cam2,unstaffed,staffed,0.36,
09:39:37.40,09:39:39.92,cam2,staffed,unstaffed,2.52,
09:39:39.92,09:39:40.20,cam2,unstaffed,staffed,0.28,
09:39:40.20,09:39:49.72,cam2,staffed,unstaffed,9.52,w1
09:39:49.72,09:40:15.04,cam2,unstaffed,staffed,25.32,
09:40:15.04,09:40:15.88,cam2,staffed,unstaffed,0.84,
09:40:15.88,09:40:16.24,cam2,unstaffed,staffed,0.36,
09:40:16.24,09:40:16.84,cam2,staffed,unstaffed,0.6,
09:40:16.84,09:40:37.80,cam2,unstaffed,staffed,20.96,
09:40:37.80,09:40:38.04,cam2,staffed,unstaffed,0.24,
09:40:38.04,09:40:38.40,cam2,unstaffed,staffed,0.36,
